Survived,Age,SibSp,Parch,Fare,FamilySize,Family,Child,Female,Male,Class_1,Class_2,Class_3,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Misc,Title_Miss,Title_Mr,Title_Mrs
0,22.0,1,0,7,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,38.0,1,0,71,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,26.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,35.0,1,0,53,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,35.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,54.0,0,0,51,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,2.0,3,1,21,5,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,27.0,0,2,11,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,14.0,1,0,30,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,4.0,1,1,16,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,58.0,0,0,26,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,20.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,39.0,1,5,31,7,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,14.0,0,0,7,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,55.0,0,0,16,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,2.0,4,1,29,6,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
1,28.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,31.0,1,0,18,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,28.0,0,0,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
0,35.0,0,0,26,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,34.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,15.0,0,0,8,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,28.0,0,0,35,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,8.0,3,1,21,5,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,38.0,1,5,31,7,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,28.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,19.0,3,2,263,6,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,40.0,0,0,27,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,28.0,1,0,146,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,66.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,1,0,82,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,42.0,1,0,52,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,28.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,21.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,18.0,2,0,18,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,14.0,1,0,11,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,40.0,1,0,9,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,27.0,1,0,21,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,28.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,3.0,1,2,41,4,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,19.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,1,0,15,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,28.0,2,0,21,3,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,18.0,1,0,17,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,7.0,4,1,39,6,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
0,21.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,49.0,1,0,76,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,29.0,1,0,26,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,65.0,0,1,61,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,28.0,0,0,35,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,21.0,0,0,10,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0,28.5,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,5.0,1,2,27,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,11.0,5,2,46,8,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
0,22.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,38.0,0,0,80,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,45.0,1,0,83,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,4.0,3,2,27,6,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
0,28.0,0,0,27,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,28.0,1,1,15,3,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
1,29.0,0,0,10,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,19.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,17.0,4,2,7,7,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,26.0,2,0,8,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,32.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,16.0,5,2,46,8,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,21.0,0,0,73,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,26.0,1,0,14,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,32.0,0,0,56,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,25.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0.83,0,2,29,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
1,30.0,0,0,12,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,22.0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,29.0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,28.0,0,0,47,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,17.0,0,0,10,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,33.0,3,0,15,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,16.0,1,3,34,5,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,23.0,3,2,263,6,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,24.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,29.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,20.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,46.0,1,0,61,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,26.0,1,2,20,4,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,59.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,71.0,0,0,34,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,23.0,0,1,63,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,34.0,0,1,23,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,34.0,1,0,26,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,21.0,0,1,77,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,33.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,37.0,2,0,7,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,21.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,38.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,28.0,1,0,24,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,47.0,0,0,52,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,14.5,1,0,14,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,22.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,20.0,1,0,9,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,17.0,0,0,14,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
0,21.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,70.5,0,0,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,29.0,1,0,21,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,24.0,0,1,247,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,2.0,4,2,31,7,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,21.0,2,0,73,3,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,32.5,1,0,30,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,32.5,0,0,13,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0,54.0,0,1,77,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,12.0,1,0,11,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,24.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,28.0,1,1,22,3,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
0,45.0,0,0,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,33.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,20.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,47.0,1,0,14,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,29.0,1,0,26,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,25.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,23.0,0,0,15,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,19.0,0,2,26,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,37.0,1,0,53,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,16.0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,24.0,0,0,79,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,28.0,0,2,15,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
1,22.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,24.0,1,0,15,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,19.0,0,0,6,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,18.0,0,0,11,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,19.0,1,1,36,3,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,27.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,9.0,2,2,34,5,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,36.5,0,2,26,3,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,42.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,51.0,0,0,12,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,22.0,1,0,66,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,55.5,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,40.5,0,2,14,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,51.0,0,1,61,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,16.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,30.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,8,2,69,11,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0,44.0,0,1,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,40.0,0,0,15,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,26.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,17.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,1.0,4,1,39,6,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,9.0,0,2,20,3,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,28.0,0,1,55,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,45.0,1,4,27,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,28.0,0,0,25,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,28.0,0,0,56,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,61.0,0,0,33,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,4.0,4,1,29,6,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
1,1.0,1,1,11,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,21.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,56.0,0,0,30,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,18.0,1,1,7,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,3,1,25,5,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0,50.0,0,0,28,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
0,30.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,36.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,8,2,69,11,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,28.0,0,0,15,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,9.0,4,2,31,7,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,1.0,2,1,39,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
1,4.0,0,2,22,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,28.0,0,0,50,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,28.0,1,0,15,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,45.0,0,0,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,40.0,1,1,15,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,36.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,32.0,0,0,13,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,19.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,19.0,1,0,7,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3.0,1,1,26,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
1,44.0,0,0,27,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,58.0,0,0,146,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,42.0,0,1,8,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,24.0,0,0,13,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0,28.0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,8,2,69,11,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,34.0,0,0,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,45.5,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,18.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,2.0,0,1,10,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,32.0,1,0,15,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,26.0,0,0,18,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,16.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,40.0,0,0,31,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,24.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,35.0,0,0,21,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0,22.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,30.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,1,0,7,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,31.0,1,0,113,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,27.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,42.0,1,0,27,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,32.0,0,0,76,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
0,30.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,16.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,27.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,51.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,38.0,1,0,90,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,22.0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,19.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,20.5,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,18.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,3,1,25,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,35.0,1,0,83,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,29.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,59.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,5.0,4,2,31,7,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,24.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,44.0,1,0,26,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,8.0,0,2,26,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,19.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,33.0,0,0,12,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,1,0,14,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
1,28.0,1,0,15,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,29.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,22.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,30.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,44.0,2,0,90,3,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,25.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,24.0,0,2,14,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1,37.0,1,1,52,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,54.0,1,0,26,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,29.0,1,1,10,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,62.0,0,0,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,30.0,1,0,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,41.0,0,2,20,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,29.0,0,2,15,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
1,28.0,0,0,79,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,30.0,0,0,86,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1,35.0,0,0,512,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,50.0,0,1,26,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,3.0,4,2,31,7,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
0,52.0,1,1,79,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,40.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,36.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,16.0,4,1,39,6,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,25.0,1,0,7,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,58.0,0,1,153,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,35.0,0,0,135,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,28.0,0,0,31,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,25.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,41.0,0,1,19,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,37.0,0,1,29,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,63.0,1,0,77,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,45.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,28.0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,7.0,4,1,29,6,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
1,35.0,1,1,20,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,65.0,0,0,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,16.0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,19.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,33.0,0,0,8,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,30.0,0,0,9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,22.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,42.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,22.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,26.0,0,0,78,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1,19.0,1,0,91,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
0,36.0,0,0,12,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,24.0,0,0,8,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
